,Date,state,District,Confirm,pollution,recoverd,deceased
0,5/31/2020,Uttar Pradesh,Meerut,288.83870967741933,84.1,146.0,16.225806451612904
1,6/30/2020,Uttar Pradesh,Meerut,699.5,69.0,444.8666666666667,58.06666666666667
2,7/31/2020,Uttar Pradesh,Meerut,1665.225806451613,62.7,1173.4516129032259,94.90322580645162
3,8/31/2020,Uttar Pradesh,Meerut,3058.3548387096776,58.5,2272.3225806451615,122.19354838709677
4,9/30/2020,Uttar Pradesh,Meerut,7001.3,84.7,4756.566666666667,185.63333333333333
5,10/31/2020,Uttar Pradesh,Meerut,11940.516129032258,157.3,10018.193548387097,288.03225806451616
6,11/30/2020,Uttar Pradesh,Meerut,16116.933333333332,161.0,13834.7,365.0
7,12/31/2020,Uttar Pradesh,Meerut,20724.58064516129,178.9,18636.83870967742,418.5483870967742
0,5/31/2020,Haryana,Faridabad,158.74193548387098,64.0,82.48387096774194,4.548387096774194
1,6/30/2020,Haryana,Faridabad,1712.4333333333334,69.5,745.8,38.8
2,7/31/2020,Haryana,Faridabad,6109.774193548387,56.0,4840.806451612903,106.45161290322581
3,8/31/2020,Haryana,Faridabad,10908.516129032258,49.9,9923.161290322581,151.7741935483871
4,9/30/2020,Haryana,Faridabad,16444.7,76.8,14797.8,195.2
5,10/31/2020,Haryana,Faridabad,22397.58064516129,141.3,21217.41935483871,235.06451612903226
6,11/30/2020,Haryana,Faridabad,32781.433333333334,122.6,29341.633333333335,282.93333333333334
7,12/31/2020,Haryana,Faridabad,43961.45161290323,110.9,42430.06451612903,383.93548387096774
0,5/31/2020,Haryana,Rohtak,11.548387096774194,62.0,4.967741935483871,1.0
1,6/30/2020,Haryana,Rohtak,322.6,62.6,186.96666666666667,4.566666666666666
2,7/31/2020,Haryana,Rohtak,1040.1612903225807,50.0,742.2903225806451,15.838709677419354
3,8/31/2020,Haryana,Rohtak,2204.935483870968,46.4,1693.2903225806451,25.806451612903224
4,9/30/2020,Haryana,Rohtak,4446.233333333334,59.7,3540.1,46.3
5,10/31/2020,Haryana,Rohtak,6862.451612903225,110.7,6056.258064516129,69.87096774193549
6,11/30/2020,Haryana,Rohtak,9320.333333333334,108.1,8091.433333333333,94.36666666666666
7,12/31/2020,Haryana,Rohtak,11651.161290322581,115.2,10890.838709677419,141.03225806451613
0,5/31/2020,Punjab,Fatehgarh Sahib,44.16129032258065,68.2,26.419354838709676,0.0
1,6/30/2020,Punjab,Fatehgarh Sahib,83.13333333333334,55.8,69.93333333333334,0.03333333333333333
2,7/31/2020,Punjab,Fatehgarh Sahib,201.58064516129033,66.0,148.32258064516128,1.5161290322580645
3,8/31/2020,Punjab,Fatehgarh Sahib,692.516129032258,36.6,483.51612903225805,11.96774193548387
4,9/30/2020,Punjab,Fatehgarh Sahib,1512.5,77.3,1226.1333333333334,59.6
5,10/31/2020,Punjab,Fatehgarh Sahib,2064.8064516129034,84.3,1878.4193548387098,95.93548387096774
6,11/30/2020,Punjab,Fatehgarh Sahib,2243.1666666666665,88.4,2087.366666666667,105.1
7,12/31/2020,Punjab,Fatehgarh Sahib,2441.1290322580644,70.9,2291.0,110.06451612903226
0,5/31/2020,Haryana,Kaithal,5.32258064516129,52.6,2.6774193548387095,0.0
1,6/30/2020,Haryana,Kaithal,58.86666666666667,48.1,34.233333333333334,0.0
2,7/31/2020,Haryana,Kaithal,165.70967741935485,37.7,115.12903225806451,0.0
3,8/31/2020,Haryana,Kaithal,547.1935483870968,35.8,347.4193548387097,3.6774193548387095
4,9/30/2020,Haryana,Kaithal,1865.6,48.1,1380.1666666666667,26.133333333333333
5,10/31/2020,Haryana,Kaithal,2739.3225806451615,99.5,2494.2258064516127,41.516129032258064
6,11/30/2020,Haryana,Kaithal,3170.766666666667,73.4,3006.766666666667,44.5
7,12/31/2020,Haryana,Kaithal,3645.483870967742,59.1,3499.3870967741937,47.354838709677416
0,5/31/2020,Punjab,Rupnagar,45.806451612903224,52.3,27.93548387096774,1.0
1,6/30/2020,Punjab,Rupnagar,82.8,42.5,69.2,1.0
2,7/31/2020,Punjab,Rupnagar,158.38709677419354,32.8,125.93548387096774,1.6129032258064515
3,8/31/2020,Punjab,Rupnagar,517.4193548387096,36.9,344.16129032258067,7.645161290322581
4,9/30/2020,Punjab,Rupnagar,1471.5,47.2,990.2666666666667,45.1
5,10/31/2020,Punjab,Rupnagar,2329.548387096774,65.3,1945.0,98.25806451612904
6,11/30/2020,Punjab,Rupnagar,2657.5666666666666,59.9,2368.3333333333335,130.96666666666667
7,12/31/2020,Punjab,Rupnagar,3149.483870967742,56.9,2792.6774193548385,156.29032258064515
0,5/31/2020,Bihar,Gaya,23.258064516129032,43.8,6.645161290322581,0.0
1,6/30/2020,Bihar,Gaya,146.73333333333332,36.5,87.4,0.8
2,7/31/2020,Bihar,Gaya,835.1935483870968,27.4,457.8709677419355,9.290322580645162
3,8/31/2020,Bihar,Gaya,3541.8387096774195,31.4,2783.0,34.193548387096776
4,9/30/2020,Bihar,Gaya,5203.066666666667,24.3,4791.133333333333,43.833333333333336
5,10/31/2020,Bihar,Gaya,6219.903225806452,36.3,5857.870967741936,46.41935483870968
6,11/30/2020,Bihar,Gaya,7069.966666666666,51.2,6793.4,49.7
7,12/31/2020,Bihar,Gaya,7582.354838709677,69.4,7360.258064516129,57.83870967741935
0,5/31/2020,Maharashtra,Mumbai,21071.8064516129,20.6,5047.096774193548,726.8064516129032
1,6/30/2020,Maharashtra,Mumbai,59504.03333333333,15.9,29381.733333333334,2800.133333333333
2,7/31/2020,Maharashtra,Mumbai,97412.54838709677,18.6,68471.32258064517,5518.451612903225
3,8/31/2020,Maharashtra,Mumbai,129778.58064516129,20.0,103136.93548387097,7091.774193548387
4,9/30/2020,Maharashtra,Mumbai,175078.66666666666,24.7,139401.93333333332,8278.7
5,10/31/2020,Maharashtra,Mumbai,235995.93548387097,42.1,203214.48387096773,9662.290322580646
6,11/30/2020,Maharashtra,Mumbai,270407.56666666665,63.8,244282.8,10574.933333333332
7,12/31/2020,Maharashtra,Mumbai,288109.3870967742,70.6,265633.6129032258,10992.838709677419
0,5/31/2020,Chhattisgarh,Gaurela Pendra Marwahi,0.5806451612903226,35.2,0.0,0.0
1,6/30/2020,Chhattisgarh,Gaurela Pendra Marwahi,3.0,31.7,2.3,0.0
2,7/31/2020,Chhattisgarh,Gaurela Pendra Marwahi,8.96774193548387,29.8,6.064516129032258,0.0
3,8/31/2020,Chhattisgarh,Gaurela Pendra Marwahi,34.354838709677416,29.2,30.774193548387096,0.0
4,9/30/2020,Chhattisgarh,Gaurela Pendra Marwahi,185.76666666666668,31.1,81.43333333333334,0.3
5,10/31/2020,Chhattisgarh,Gaurela Pendra Marwahi,464.6774193548387,41.1,381.1290322580645,1.8064516129032258
6,11/30/2020,Chhattisgarh,Gaurela Pendra Marwahi,690.7333333333333,54.7,511.73333333333335,7.033333333333333
7,12/31/2020,Chhattisgarh,Gaurela Pendra Marwahi,923.5483870967741,64.8,676.8064516129032,8.548387096774194
0,5/31/2020,Maharashtra,Chandrapur,10.451612903225806,39.1,3.7096774193548385,0.0
1,6/30/2020,Maharashtra,Chandrapur,51.833333333333336,21.4,34.36666666666667,0.0
2,7/31/2020,Maharashtra,Chandrapur,218.1290322580645,20.5,133.1290322580645,0.0
3,8/31/2020,Maharashtra,Chandrapur,1119.774193548387,18.1,615.3548387096774,7.451612903225806
4,9/30/2020,Maharashtra,Chandrapur,6318.066666666667,29.2,2907.366666666667,65.13333333333334
5,10/31/2020,Maharashtra,Chandrapur,13503.90322580645,30.9,9221.354838709678,197.90322580645162
6,11/30/2020,Maharashtra,Chandrapur,18314.733333333334,40.6,15253.4,283.7
7,12/31/2020,Maharashtra,Chandrapur,22255.387096774193,61.7,20557.41935483871,362.64516129032256
0,5/31/2020,Karnataka,Bengaluru Urban,221.16129032258064,22.7,113.51612903225806,7.774193548387097
1,6/30/2020,Karnataka,Bengaluru Urban,1211.6666666666667,19.9,370.5,44.63333333333333
2,7/31/2020,Karnataka,Bengaluru Urban,27217.16129032258,18.4,6452.064516129032,512.6451612903226
3,8/31/2020,Karnataka,Bengaluru Urban,91041.83870967742,22.4,54838.45161290323,1475.9354838709678
4,9/30/2020,Karnataka,Bengaluru Urban,179919.9,21.3,135908.23333333334,2493.1
5,10/31/2020,Karnataka,Bengaluru Urban,294851.32258064515,32.0,234823.09677419355,3460.8387096774195
6,11/30/2020,Karnataka,Bengaluru Urban,356462.63333333336,27.2,333586.86666666664,4012.5333333333333
7,12/31/2020,Karnataka,Bengaluru Urban,380025.22580645164,37.1,363315.6451612903,4241.741935483871
0,5/31/2020,Bihar,Muzaffarpur,20.35483870967742,21.8,6.225806451612903,0.0
1,6/30/2020,Bihar,Muzaffarpur,174.96666666666667,16.6,100.86666666666666,1.3333333333333333
2,7/31/2020,Bihar,Muzaffarpur,1050.6129032258063,18.0,761.3548387096774,7.354838709677419
3,8/31/2020,Bihar,Muzaffarpur,4257.290322580645,15.1,3185.7096774193546,20.35483870967742
4,9/30/2020,Bihar,Muzaffarpur,7217.066666666667,23.0,6454.066666666667,29.933333333333334
5,10/31/2020,Bihar,Muzaffarpur,9096.870967741936,22.5,8551.806451612903,34.645161290322584
6,11/30/2020,Bihar,Muzaffarpur,10323.766666666666,23.2,9991.0,42.93333333333333
7,12/31/2020,Bihar,Muzaffarpur,11170.90322580645,38.5,10894.548387096775,45.0
