,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),RF (mm)
0,21-Apr-2020 - 00:00,22-Apr-2020 - 00:00,9.49,21.36,11.55,0.79,15.94,16.48,6.63,0.27,8.58,9.46,9.82,0.09,0.19,,,,,,0.0
1,22-Apr-2020 - 00:00,23-Apr-2020 - 00:00,8.5,11.43,11.46,0.34,15.47,15.83,6.63,0.24,1.8,0.05,0.44,0.18,0.38,,,,,,0.0
2,23-Apr-2020 - 00:00,24-Apr-2020 - 00:00,10.27,14.32,11.56,0.26,15.5,16.57,6.96,0.26,1.8,0.06,0.48,0.2,0.39,,,,,,0.0
3,24-Apr-2020 - 00:00,25-Apr-2020 - 00:00,5.7,9.93,11.53,0.34,15.57,12.36,6.8,0.21,1.28,0.03,0.31,0.13,0.28,,,,,,0.0
4,25-Apr-2020 - 00:00,26-Apr-2020 - 00:00,2.83,5.57,11.52,0.2,15.01,17.23,7.47,0.19,0.71,6.29,6.57,0.12,0.26,,,,,,0.0
5,26-Apr-2020 - 00:00,27-Apr-2020 - 00:00,2.24,4.25,11.54,0.13,15.24,12.41,6.97,0.18,1.22,6.7,6.95,0.11,0.26,,,,,,0.0
6,27-Apr-2020 - 00:00,28-Apr-2020 - 00:00,5.44,10.14,11.62,0.27,15.58,18.0,7.19,0.25,0.39,8.72,9.14,0.17,0.35,,,,,,0.0
7,28-Apr-2020 - 00:00,29-Apr-2020 - 00:00,3.65,7.74,11.69,0.19,15.59,16.79,6.98,0.26,,6.49,7.0,0.18,0.35,,,,,,0.0
8,29-Apr-2020 - 00:00,30-Apr-2020 - 00:00,3.81,6.79,11.61,0.18,15.4,15.33,7.24,0.21,,7.55,7.91,0.1,0.2,,,,,,0.0
9,30-Apr-2020 - 00:00,01-May-2020 - 00:00,4.94,9.14,11.7,0.31,15.65,14.5,6.55,0.24,1.55,10.1,10.68,0.13,0.28,,,,,,0.0
10,01-May-2020 - 00:00,02-May-2020 - 00:00,7.82,13.04,11.69,0.37,15.71,18.37,6.48,0.3,1.61,0.06,0.75,0.26,0.53,,,,,,0.0
11,02-May-2020 - 00:00,03-May-2020 - 00:00,8.18,12.88,11.59,0.24,15.48,16.53,6.45,0.27,0.08,10.64,11.26,0.17,0.32,,,,,,0.0
12,03-May-2020 - 00:00,04-May-2020 - 00:00,5.48,9.93,11.54,0.08,15.15,14.56,6.43,0.19,,10.54,10.9,0.17,0.32,,,,,,0.0
13,04-May-2020 - 00:00,05-May-2020 - 00:00,6.74,12.21,11.56,0.23,15.43,15.72,6.96,0.23,0.46,18.24,18.67,0.15,0.32,,,,,,0.0
14,05-May-2020 - 00:00,06-May-2020 - 00:00,9.84,14.54,11.58,0.25,15.58,18.78,7.61,0.27,0.18,4.68,5.14,0.21,0.42,,,,,,0.0
15,06-May-2020 - 00:00,07-May-2020 - 00:00,6.24,8.5,13.16,0.68,16.55,15.07,7.36,0.24,3.71,1.73,2.22,0.19,0.38,,,,,,0.0
16,07-May-2020 - 00:00,08-May-2020 - 00:00,4.26,7.45,11.51,0.19,15.43,19.74,8.06,0.27,0.2,5.41,6.12,0.21,0.38,,,,,,0.0
17,08-May-2020 - 00:00,09-May-2020 - 00:00,13.78,17.65,11.52,0.51,15.76,22.46,8.52,0.32,3.24,13.3,13.85,0.23,0.42,,,,,,0.0
18,09-May-2020 - 00:00,10-May-2020 - 00:00,13.46,19.03,11.53,0.34,15.64,28.21,8.59,0.37,0.34,0.07,1.01,0.4,0.5,,,,,,0.0
19,10-May-2020 - 00:00,11-May-2020 - 00:00,16.34,20.51,11.47,0.09,15.21,32.74,8.62,0.31,0.06,0.06,0.8,0.38,0.6,,,,,,0.0
