,From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),(W/mt2),Xylene (ug/m3),RF (mm)
0,21-Apr-2020 - 00:00,22-Apr-2020 - 00:00,18.62,39.75,4.71,13.54,1.37,14.1,5.15,0.43,50.7,0.41,4.05,0.53,0.51,0.49,33.42,39.36,1.51,19.07,520.55,0.0
1,22-Apr-2020 - 00:00,23-Apr-2020 - 00:00,21.4,43.74,5.46,13.04,2.0,14.16,5.08,0.53,49.73,0.37,3.96,0.48,0.51,0.51,33.51,43.65,1.51,19.29,469.92,0.0
2,23-Apr-2020 - 00:00,24-Apr-2020 - 00:00,23.8,47.41,5.01,13.48,1.49,13.99,4.47,0.39,50.06,0.41,3.91,0.51,0.5,0.49,35.26,43.41,1.51,19.88,428.44,0.0
3,24-Apr-2020 - 00:00,25-Apr-2020 - 00:00,16.34,37.25,8.17,13.1,6.83,14.03,2.82,0.39,49.9,0.36,3.69,0.45,0.48,0.45,34.41,40.9,1.51,19.4,470.19,0.0
4,25-Apr-2020 - 00:00,26-Apr-2020 - 00:00,17.6,45.08,5.05,13.28,9.23,13.91,4.46,0.25,50.61,0.44,3.88,0.53,0.5,0.49,33.18,44.6,1.51,19.34,479.88,0.0
5,26-Apr-2020 - 00:00,27-Apr-2020 - 00:00,16.72,41.25,5.02,12.6,8.91,13.96,5.28,0.44,49.83,0.4,3.86,0.48,0.48,0.48,32.76,43.39,1.51,19.36,498.59,0.0
6,27-Apr-2020 - 00:00,28-Apr-2020 - 00:00,17.27,40.37,6.59,12.78,9.79,14.02,5.55,0.38,50.23,0.42,3.91,0.49,0.49,0.48,34.05,46.77,1.51,19.73,506.3,0.0
7,28-Apr-2020 - 00:00,29-Apr-2020 - 00:00,21.36,44.9,4.21,12.52,7.91,14.21,6.82,0.38,50.04,0.4,3.95,0.48,0.49,0.5,34.99,43.39,1.51,19.69,512.53,0.0
8,29-Apr-2020 - 00:00,30-Apr-2020 - 00:00,12.81,43.55,6.06,11.73,8.69,14.46,5.06,0.75,50.2,0.4,3.99,0.51,0.48,0.47,34.58,43.31,1.51,19.61,532.96,0.0
9,30-Apr-2020 - 00:00,01-May-2020 - 00:00,7.27,47.42,4.23,11.31,6.98,14.14,5.34,0.61,50.0,0.4,3.98,0.5,0.48,0.49,35.23,45.43,1.51,19.65,453.21,0.0
