,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),WS (m/s),WD (degree)
0,21-Apr-2020 - 00:00,22-Apr-2020 - 00:00,33.03,71.33,,,0.0,,4.33,0.39,,0.06,0.83,208.3
1,22-Apr-2020 - 00:00,23-Apr-2020 - 00:00,29.03,60.12,,,0.0,,5.0,0.38,,0.07,0.71,178.37
2,23-Apr-2020 - 00:00,24-Apr-2020 - 00:00,39.16,82.98,,,0.0,,4.63,0.37,,0.06,0.7,165.36
3,24-Apr-2020 - 00:00,25-Apr-2020 - 00:00,32.67,66.46,,,0.0,,4.26,0.36,,0.06,0.77,225.82
4,25-Apr-2020 - 00:00,26-Apr-2020 - 00:00,39.93,102.44,,,0.0,,4.76,0.35,,0.05,0.35,101.04
5,26-Apr-2020 - 00:00,27-Apr-2020 - 00:00,17.87,45.71,,,0.0,,4.59,0.35,,0.05,1.07,212.75
6,27-Apr-2020 - 00:00,28-Apr-2020 - 00:00,29.41,74.25,,,0.0,,4.31,0.34,,0.07,1.0,157.21
7,28-Apr-2020 - 00:00,29-Apr-2020 - 00:00,37.07,88.7,,,0.0,,4.66,0.33,,0.07,1.21,187.25
8,29-Apr-2020 - 00:00,30-Apr-2020 - 00:00,36.8,76.78,,,0.0,,3.98,0.33,,0.06,0.9,205.85
9,30-Apr-2020 - 00:00,01-May-2020 - 00:00,54.66,111.49,,,0.0,,5.01,0.32,,0.06,1.18,190.16
10,01-May-2020 - 00:00,02-May-2020 - 00:00,59.14,217.53,,,0.0,,5.57,0.31,,0.04,0.89,187.59
11,02-May-2020 - 00:00,03-May-2020 - 00:00,,,,,,,,,,,,
12,03-May-2020 - 00:00,04-May-2020 - 00:00,74.98,144.75,,,0.0,,,0.46,92.08,0.03,1.52,203.7
13,04-May-2020 - 00:00,05-May-2020 - 00:00,29.46,104.33,,,0.0,,,0.39,55.46,0.05,0.83,215.43
14,05-May-2020 - 00:00,06-May-2020 - 00:00,48.19,94.71,,,0.0,,,0.38,74.59,0.05,0.94,189.81
15,06-May-2020 - 00:00,07-May-2020 - 00:00,40.46,86.81,,,0.0,,,0.38,78.72,0.08,0.64,181.18
16,07-May-2020 - 00:00,08-May-2020 - 00:00,25.01,69.28,,,0.0,,,0.37,77.29,0.03,0.79,105.64
17,08-May-2020 - 00:00,09-May-2020 - 00:00,33.54,76.87,,,0.0,,,0.38,65.0,0.05,0.81,144.28
18,09-May-2020 - 00:00,10-May-2020 - 00:00,39.18,116.73,,,0.0,,,0.38,72.72,0.02,0.96,133.47
19,10-May-2020 - 00:00,11-May-2020 - 00:00,43.93,97.92,,,0.0,,,0.38,52.03,0.03,0.77,170.17
20,11-May-2020 - 00:00,12-May-2020 - 00:00,70.15,126.65,343.41,32.61,346.79,40.03,6.95,0.6,48.59,0.01,0.71,91.47
21,12-May-2020 - 00:00,13-May-2020 - 00:00,75.39,131.21,,,,53.93,5.18,0.41,49.42,0.08,0.43,170.04
22,13-May-2020 - 00:00,14-May-2020 - 00:00,76.15,125.25,304.26,34.21,302.78,47.63,6.18,0.47,59.02,0.04,0.94,196.69
23,14-May-2020 - 00:00,15-May-2020 - 00:00,66.79,120.93,390.68,,378.24,50.1,,0.41,84.57,0.05,1.22,162.55
24,15-May-2020 - 00:00,16-May-2020 - 00:00,49.23,116.26,,,,49.98,,0.37,73.91,0.05,0.94,146.69
25,16-May-2020 - 00:00,17-May-2020 - 00:00,47.56,126.42,267.71,,66.87,51.12,,0.37,77.25,0.06,1.54,144.68
26,17-May-2020 - 00:00,18-May-2020 - 00:00,46.88,90.48,,,,45.5,,0.37,46.74,0.08,0.38,195.0
27,18-May-2020 - 00:00,19-May-2020 - 00:00,,,,,,,,,,,,
28,19-May-2020 - 00:00,20-May-2020 - 00:00,,,,,,,,,,,,
29,20-May-2020 - 00:00,21-May-2020 - 00:00,,,,,,,,,,,,
30,21-May-2020 - 00:00,22-May-2020 - 00:00,,,,,,,,,,,,
31,22-May-2020 - 00:00,23-May-2020 - 00:00,,,,,,,,,,,,
32,23-May-2020 - 00:00,24-May-2020 - 00:00,,,,,,,,,,,,
33,24-May-2020 - 00:00,25-May-2020 - 00:00,,,,,,,,,,,,
34,25-May-2020 - 00:00,26-May-2020 - 00:00,,,,,,,,,,,,
35,26-May-2020 - 00:00,27-May-2020 - 00:00,,,,,,,,,,,,
