,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),Xylene (ug/m3)
0,21-Apr-2020 - 00:00,22-Apr-2020 - 00:00,10.14,40.52,19.37,13.01,29.1,12.24,13.08,0.81,43.02,1.33,1.45,24.99,49.57,0.47,224.4,394.14,2.0
1,22-Apr-2020 - 00:00,23-Apr-2020 - 00:00,13.42,51.52,21.83,14.01,31.51,12.64,9.15,0.73,43.02,1.36,1.58,27.43,39.69,0.34,181.55,395.62,2.0
2,23-Apr-2020 - 00:00,24-Apr-2020 - 00:00,14.96,59.91,23.58,17.13,33.63,13.04,8.62,0.85,43.02,1.31,1.15,29.35,34.76,0.4,197.33,397.48,2.0
3,24-Apr-2020 - 00:00,25-Apr-2020 - 00:00,20.69,78.42,20.46,16.21,32.28,12.37,10.65,0.66,43.02,1.3,1.1,29.88,34.58,0.35,209.84,394.59,2.0
4,25-Apr-2020 - 00:00,26-Apr-2020 - 00:00,15.76,67.41,21.95,16.36,30.29,13.42,15.93,0.78,43.02,1.29,1.09,27.06,45.18,0.49,254.1,366.57,1.98
5,26-Apr-2020 - 00:00,27-Apr-2020 - 00:00,14.49,53.08,19.84,15.62,30.03,12.01,10.85,0.69,43.02,1.3,1.1,26.07,57.28,0.81,148.34,394.77,5.34
6,27-Apr-2020 - 00:00,28-Apr-2020 - 00:00,11.21,42.8,38.23,32.86,46.57,19.71,6.43,0.75,44.15,1.25,1.06,25.82,55.7,1.2,94.78,404.63,8.48
7,28-Apr-2020 - 00:00,29-Apr-2020 - 00:00,14.19,53.7,27.88,21.08,37.33,14.63,7.09,0.79,43.57,1.3,1.1,26.82,52.57,0.61,198.51,384.9,8.81
8,29-Apr-2020 - 00:00,30-Apr-2020 - 00:00,24.47,87.72,27.17,19.55,36.6,14.16,9.02,0.76,43.57,1.3,1.1,29.68,43.75,0.32,261.57,397.18,8.72
9,30-Apr-2020 - 00:00,01-May-2020 - 00:00,24.28,113.77,25.04,16.98,34.72,13.56,8.49,0.75,43.57,1.3,1.1,31.41,38.09,0.5,258.2,367.28,8.81
10,01-May-2020 - 00:00,02-May-2020 - 00:00,32.28,141.6,21.09,15.24,30.41,12.82,9.64,0.79,43.57,1.3,1.1,32.18,38.12,0.31,198.3,399.94,8.72
11,02-May-2020 - 00:00,03-May-2020 - 00:00,28.05,113.71,21.79,17.87,32.39,12.64,8.27,0.63,42.61,1.27,1.08,28.08,59.18,0.66,162.93,367.15,8.62
12,03-May-2020 - 00:00,04-May-2020 - 00:00,15.0,62.45,22.81,16.92,32.74,13.24,7.12,0.78,27.09,1.3,1.1,26.98,54.99,0.95,178.55,387.9,8.81
13,04-May-2020 - 00:00,05-May-2020 - 00:00,19.85,74.29,19.06,15.96,28.82,12.64,8.68,0.82,27.11,1.29,1.09,28.47,51.08,0.42,208.81,396.94,8.67
14,05-May-2020 - 00:00,06-May-2020 - 00:00,18.76,74.46,19.53,14.56,29.91,12.16,7.37,0.73,27.1,1.3,1.1,30.11,38.18,0.5,258.24,398.62,8.72
15,06-May-2020 - 00:00,07-May-2020 - 00:00,23.19,74.38,19.61,12.6,28.99,12.38,10.32,0.83,27.11,1.3,1.1,28.21,33.85,0.7,218.3,370.44,8.72
16,07-May-2020 - 00:00,08-May-2020 - 00:00,19.05,50.48,31.62,27.49,39.84,17.56,9.08,0.73,38.52,1.23,1.04,28.93,31.43,0.5,209.92,390.06,8.23
17,08-May-2020 - 00:00,09-May-2020 - 00:00,34.77,84.37,30.16,23.66,39.25,15.14,10.41,0.83,43.77,1.3,1.1,31.39,33.34,0.33,258.99,395.29,8.81
18,09-May-2020 - 00:00,10-May-2020 - 00:00,37.24,88.25,22.58,18.93,32.1,13.75,10.99,0.75,43.73,1.29,1.09,33.46,30.41,0.58,207.33,398.8,8.72
19,10-May-2020 - 00:00,11-May-2020 - 00:00,39.53,90.88,20.11,13.65,30.14,12.39,9.27,0.7,43.77,1.3,1.1,30.23,39.02,0.96,118.34,398.09,8.81
20,11-May-2020 - 00:00,12-May-2020 - 00:00,31.65,70.57,20.46,15.74,30.0,12.7,7.77,0.67,43.77,1.3,1.1,29.34,42.3,1.07,118.97,396.08,8.72
21,12-May-2020 - 00:00,13-May-2020 - 00:00,24.63,48.4,22.14,16.68,30.58,13.46,9.82,0.84,43.77,1.3,1.1,29.62,44.7,0.45,232.48,403.27,8.81
22,13-May-2020 - 00:00,14-May-2020 - 00:00,46.62,89.57,19.63,15.48,30.13,12.78,9.14,0.74,43.77,1.27,1.08,30.77,44.12,0.37,215.44,391.05,8.63
23,14-May-2020 - 00:00,15-May-2020 - 00:00,39.12,73.07,21.32,15.93,32.09,12.54,8.91,0.6,43.77,1.3,1.1,24.31,74.72,0.78,149.91,367.7,8.81
24,15-May-2020 - 00:00,16-May-2020 - 00:00,23.28,46.05,22.9,16.18,32.82,12.72,9.96,0.93,43.77,1.3,1.1,28.43,52.16,0.68,298.63,404.92,8.72
25,16-May-2020 - 00:00,17-May-2020 - 00:00,36.15,70.75,19.56,15.03,29.31,12.51,9.3,0.75,43.77,1.3,1.1,31.19,40.6,0.37,302.39,400.96,8.81
26,17-May-2020 - 00:00,18-May-2020 - 00:00,40.97,77.89,20.79,16.1,31.17,12.83,11.68,0.75,43.77,1.3,1.1,32.22,30.57,0.44,280.27,389.29,8.81
