,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),RF (mm)
0,21-Apr-2020 - 00:00,22-Apr-2020 - 00:00,17.4,49.69,3.25,7.13,10.37,21.76,5.55,0.78,62.97,0.7,0.48,0.01,,,29.16,34.97,2.04,210.27,0.0
1,22-Apr-2020 - 00:00,23-Apr-2020 - 00:00,20.81,86.72,3.18,8.96,12.13,13.87,5.88,0.82,64.13,0.9,0.29,0.02,,,30.91,26.03,1.4,186.5,0.0
2,23-Apr-2020 - 00:00,24-Apr-2020 - 00:00,22.5,50.95,3.21,7.76,10.98,15.11,6.29,0.76,72.93,1.48,33.91,0.7,,,28.76,39.49,2.19,109.17,0.0
3,24-Apr-2020 - 00:00,25-Apr-2020 - 00:00,31.57,50.68,4.33,13.64,17.97,20.29,10.74,0.88,44.89,0.16,1.69,0.02,,,28.99,45.55,1.77,173.79,0.0
4,25-Apr-2020 - 00:00,26-Apr-2020 - 00:00,24.1,71.13,4.83,20.15,24.98,24.61,10.02,0.52,32.24,0.35,1.57,0.31,,,26.84,57.73,2.03,168.55,0.0
5,26-Apr-2020 - 00:00,27-Apr-2020 - 00:00,22.25,48.52,5.04,16.97,22.01,29.17,9.56,0.51,44.67,0.55,2.33,0.49,,,27.58,54.18,2.21,200.34,0.0
6,27-Apr-2020 - 00:00,28-Apr-2020 - 00:00,23.49,58.4,5.51,15.06,20.57,30.26,8.99,0.51,62.67,0.55,2.35,0.48,,,29.43,43.23,2.4,207.82,0.0
7,28-Apr-2020 - 00:00,29-Apr-2020 - 00:00,22.64,55.81,6.14,18.17,24.31,32.09,9.26,0.54,57.92,0.54,2.36,0.49,,,30.48,35.08,1.82,183.46,0.0
8,29-Apr-2020 - 00:00,30-Apr-2020 - 00:00,25.3,63.93,5.72,17.27,22.99,32.72,9.72,0.49,68.32,0.55,2.36,0.49,,,32.33,32.99,2.21,188.15,0.0
9,30-Apr-2020 - 00:00,01-May-2020 - 00:00,21.26,56.32,6.31,16.53,22.84,32.87,10.78,0.71,56.61,0.54,2.34,0.48,,,32.57,28.4,1.95,177.13,0.0
10,01-May-2020 - 00:00,02-May-2020 - 00:00,23.22,79.43,5.73,22.19,27.91,29.95,10.44,0.53,48.92,0.55,2.34,0.48,,,33.16,25.18,2.33,195.43,0.0
11,02-May-2020 - 00:00,03-May-2020 - 00:00,22.87,76.23,4.99,17.05,22.05,31.38,10.53,0.5,56.72,0.55,2.32,0.48,,,35.17,17.5,3.57,238.35,0.0
12,03-May-2020 - 00:00,04-May-2020 - 00:00,32.5,75.61,5.01,13.74,18.75,31.32,9.52,0.49,53.08,0.54,2.36,0.49,,,34.07,32.56,3.96,195.66,0.0
13,04-May-2020 - 00:00,05-May-2020 - 00:00,28.52,54.8,4.39,13.6,17.99,29.24,10.22,0.56,82.4,1.22,2.17,1.38,,,29.58,46.19,2.93,152.03,0.0
14,05-May-2020 - 00:00,06-May-2020 - 00:00,22.97,47.32,4.42,16.22,20.64,28.42,9.37,0.57,73.12,1.36,1.54,1.67,,,31.51,33.75,2.46,224.56,0.0
15,06-May-2020 - 00:00,07-May-2020 - 00:00,26.51,48.42,4.31,15.53,19.84,28.56,9.66,0.48,84.32,1.38,1.54,1.65,,,28.97,38.31,3.03,175.68,0.0
16,07-May-2020 - 00:00,08-May-2020 - 00:00,24.89,46.29,4.64,18.3,22.94,23.83,10.22,0.58,73.6,1.39,1.51,1.68,,,31.53,29.31,3.02,224.82,0.0
17,08-May-2020 - 00:00,09-May-2020 - 00:00,29.7,67.28,4.85,19.28,24.13,19.69,10.17,0.4,47.15,1.37,1.55,1.66,,,33.92,24.33,2.85,195.44,0.0
18,09-May-2020 - 00:00,10-May-2020 - 00:00,38.12,81.84,4.31,15.36,19.66,33.72,10.49,0.5,61.07,1.38,1.54,1.65,,,35.81,20.64,3.05,245.78,0.0
19,10-May-2020 - 00:00,11-May-2020 - 00:00,50.3,107.03,4.34,16.8,21.14,39.06,10.55,0.52,71.48,1.38,1.53,1.65,,,34.24,24.02,3.05,190.64,0.0
20,11-May-2020 - 00:00,12-May-2020 - 00:00,39.66,67.83,4.18,14.59,18.74,40.27,15.4,0.64,91.93,1.38,1.54,1.67,,,32.68,30.64,3.54,146.27,0.0
21,12-May-2020 - 00:00,13-May-2020 - 00:00,34.04,67.07,4.07,15.37,19.43,39.27,10.33,0.63,79.65,1.39,1.54,1.67,,,31.06,38.79,3.69,153.94,0.0
22,13-May-2020 - 00:00,14-May-2020 - 00:00,46.64,63.15,4.18,13.77,17.92,35.76,10.23,0.9,67.66,1.37,1.54,1.67,,,32.1,37.03,3.22,102.99,0.0
23,14-May-2020 - 00:00,15-May-2020 - 00:00,28.45,75.27,4.14,10.47,14.62,31.08,8.36,0.65,35.36,1.38,1.54,1.66,,,33.36,30.85,3.34,187.73,0.0
24,15-May-2020 - 00:00,16-May-2020 - 00:00,55.24,121.62,3.95,8.45,12.4,31.91,6.63,0.64,66.23,1.31,1.46,1.57,,,33.12,33.89,4.19,173.81,0.0
25,16-May-2020 - 00:00,17-May-2020 - 00:00,33.74,70.42,4.51,9.23,13.74,30.03,5.54,0.27,68.62,1.3,1.25,1.39,,,33.22,29.31,2.37,188.01,0.0
26,17-May-2020 - 00:00,18-May-2020 - 00:00,29.86,73.48,4.31,13.02,17.33,21.05,5.82,0.39,55.58,1.3,1.29,1.42,,,33.2,24.71,2.24,206.4,0.0
27,18-May-2020 - 00:00,19-May-2020 - 00:00,59.52,205.56,3.83,8.53,12.36,21.97,5.57,0.5,76.46,1.37,1.51,1.56,,,33.65,14.6,2.3,239.42,0.0
28,19-May-2020 - 00:00,20-May-2020 - 00:00,33.1,84.74,4.24,11.2,15.44,21.62,6.19,0.48,63.72,1.37,1.57,1.56,,,33.88,17.79,2.6,213.05,0.0
29,20-May-2020 - 00:00,21-May-2020 - 00:00,37.17,151.1,3.76,8.07,11.83,22.49,6.37,0.5,101.78,1.35,1.52,1.59,,,34.24,13.75,3.1,246.41,0.0
30,21-May-2020 - 00:00,22-May-2020 - 00:00,34.64,75.28,4.31,14.93,19.24,21.22,6.19,0.53,58.9,1.36,1.52,1.57,,,34.03,18.6,1.83,181.96,0.0
31,22-May-2020 - 00:00,23-May-2020 - 00:00,40.46,111.67,4.1,10.33,14.43,25.76,6.63,0.79,67.07,1.38,1.51,1.57,,,36.67,14.73,2.6,244.02,0.0
32,23-May-2020 - 00:00,24-May-2020 - 00:00,42.84,144.08,4.07,8.54,12.61,21.97,6.29,0.95,57.39,1.24,1.42,1.53,,,36.82,20.53,2.98,237.39,0.0
33,24-May-2020 - 00:00,25-May-2020 - 00:00,51.88,149.19,4.82,8.16,12.98,20.24,10.57,1.26,61.94,1.16,1.4,1.43,,,36.86,20.34,3.55,240.93,0.0
34,25-May-2020 - 00:00,26-May-2020 - 00:00,46.73,111.44,4.05,9.45,13.5,18.83,6.3,0.88,57.99,1.15,1.41,1.43,,,37.52,19.05,1.81,238.05,0.0
35,26-May-2020 - 00:00,27-May-2020 - 00:00,48.62,105.2,4.13,8.58,12.72,18.86,6.5,0.88,56.28,1.16,1.42,1.44,,,37.39,20.56,2.19,243.37,0.0
36,27-May-2020 - 00:00,28-May-2020 - 00:00,60.1,127.73,4.08,7.56,11.64,19.26,6.43,0.91,53.45,1.16,1.41,1.43,,,37.09,28.32,2.16,239.86,0.0
37,28-May-2020 - 00:00,29-May-2020 - 00:00,62.61,161.52,4.57,8.55,13.12,25.6,8.85,1.07,52.83,1.17,1.4,1.43,,,36.21,32.37,2.58,239.27,0.0
38,29-May-2020 - 00:00,30-May-2020 - 00:00,69.69,205.32,3.91,7.96,11.87,26.27,6.04,0.95,77.67,1.16,1.42,1.43,,,34.42,34.69,3.1,174.69,0.0
39,30-May-2020 - 00:00,31-May-2020 - 00:00,31.61,81.38,4.84,10.24,15.08,26.26,4.83,1.09,72.35,1.16,1.43,1.43,,,25.87,77.06,2.98,151.41,0.0
40,31-May-2020 - 00:00,01-Jun-2020 - 00:00,27.26,64.05,4.82,10.69,15.51,26.54,8.91,1.15,72.56,1.16,1.41,1.43,,,28.23,59.3,2.49,216.18,0.0
