,From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2)
0,21-Apr-2020 - 00:00,22-Apr-2020 - 00:00,8.55,3.21,2.77,5.13,3.7,0.46,15.95,0.0,0.0,,,,30.25,,0.7,217.42,128.65
1,22-Apr-2020 - 00:00,23-Apr-2020 - 00:00,9.93,4.03,7.22,11.13,4.49,0.35,13.42,0.0,0.0,,,,30.23,,0.9,228.76,126.75
2,23-Apr-2020 - 00:00,24-Apr-2020 - 00:00,7.58,3.62,6.12,9.74,2.62,0.47,13.44,0.0,0.0,,,,30.49,,0.92,249.86,121.16
3,24-Apr-2020 - 00:00,25-Apr-2020 - 00:00,6.3,2.36,5.75,8.0,3.01,0.46,14.03,0.0,0.0,,,,31.07,,0.91,251.22,119.23
4,25-Apr-2020 - 00:00,26-Apr-2020 - 00:00,10.21,2.26,8.65,10.73,7.6,0.32,14.89,0.0,0.0,,,,31.09,,0.94,248.33,101.44
5,26-Apr-2020 - 00:00,27-Apr-2020 - 00:00,9.47,2.89,21.37,23.46,8.27,0.48,15.55,0.0,0.0,,,,27.93,,0.87,241.55,58.98
6,27-Apr-2020 - 00:00,28-Apr-2020 - 00:00,9.92,2.27,3.26,5.52,2.01,0.34,12.45,0.0,0.0,,,,29.88,,0.65,237.14,100.29
7,28-Apr-2020 - 00:00,29-Apr-2020 - 00:00,5.51,2.24,3.14,5.46,4.53,0.31,14.46,0.02,0.0,0.05,,,30.42,,0.58,212.69,123.29
8,29-Apr-2020 - 00:00,30-Apr-2020 - 00:00,9.45,2.45,3.95,6.29,3.76,0.36,19.62,0.09,0.0,0.06,,0.02,30.24,,0.91,221.52,120.23
9,30-Apr-2020 - 00:00,01-May-2020 - 00:00,1.44,2.14,6.51,8.59,2.87,0.39,21.91,0.0,0.0,,,,30.6,,0.57,201.37,122.42
10,01-May-2020 - 00:00,02-May-2020 - 00:00,10.6,2.49,6.42,8.83,2.98,0.38,21.63,0.15,0.0,,,,31.12,,0.67,256.9,115.92
11,02-May-2020 - 00:00,03-May-2020 - 00:00,11.86,2.26,4.25,6.14,2.5,0.45,22.07,0.01,0.0,,,,30.98,,0.56,242.49,116.35
12,03-May-2020 - 00:00,04-May-2020 - 00:00,12.9,2.86,3.85,6.54,3.77,0.47,20.28,0.0,0.0,,,,30.96,,0.68,216.57,114.03
13,04-May-2020 - 00:00,05-May-2020 - 00:00,4.89,2.45,3.57,5.96,4.94,0.4,17.29,0.02,0.0,,,,30.7,,0.66,204.84,118.87
14,05-May-2020 - 00:00,06-May-2020 - 00:00,66.44,2.32,3.37,5.56,2.35,0.47,20.02,0.0,0.0,0.05,,,30.93,,0.67,228.59,127.78
15,06-May-2020 - 00:00,07-May-2020 - 00:00,11.06,2.26,4.08,6.3,3.09,0.43,28.48,0.0,0.0,,,,30.63,,0.65,237.31,109.01
16,07-May-2020 - 00:00,08-May-2020 - 00:00,13.73,2.47,3.78,6.23,2.44,0.53,28.41,0.05,0.03,,,,31.32,,0.57,221.58,81.15
17,08-May-2020 - 00:00,09-May-2020 - 00:00,10.58,2.42,3.85,6.19,3.73,0.42,28.84,0.0,0.0,,,,31.65,,0.58,250.07,111.36
18,09-May-2020 - 00:00,10-May-2020 - 00:00,8.78,1.69,3.76,5.44,2.23,0.42,15.99,0.01,0.0,0.04,,0.19,31.3,,0.57,227.15,118.45
19,10-May-2020 - 00:00,11-May-2020 - 00:00,7.06,3.08,7.17,10.24,4.52,0.39,16.14,0.0,0.0,,,,31.2,,0.48,201.42,107.18
20,11-May-2020 - 00:00,12-May-2020 - 00:00,7.61,2.08,8.66,10.69,4.75,0.46,19.28,0.08,0.0,,,,31.04,,0.34,159.98,100.01
21,12-May-2020 - 00:00,13-May-2020 - 00:00,7.65,2.22,6.42,8.61,5.36,0.45,18.95,0.0,0.0,0.11,,,30.6,,0.51,178.58,74.93
22,13-May-2020 - 00:00,14-May-2020 - 00:00,47.73,1.6,4.59,6.18,3.97,0.43,19.35,0.02,0.0,,,,30.55,,0.5,176.44,115.82
23,14-May-2020 - 00:00,15-May-2020 - 00:00,3.59,1.99,6.22,8.18,3.96,0.43,23.51,0.0,0.02,0.07,,0.02,31.17,,0.59,153.77,108.56
24,15-May-2020 - 00:00,16-May-2020 - 00:00,11.76,4.33,9.56,13.87,3.09,0.51,20.38,0.0,0.0,0.02,,,31.48,,1.49,93.69,106.58
25,16-May-2020 - 00:00,17-May-2020 - 00:00,24.88,3.95,4.55,7.34,4.75,0.47,24.42,0.0,0.0,,,,31.57,,2.34,97.32,115.46
26,17-May-2020 - 00:00,18-May-2020 - 00:00,3.96,3.64,4.78,6.52,2.79,0.39,19.86,0.05,0.0,0.02,,,31.31,,1.63,89.38,86.17
27,18-May-2020 - 00:00,19-May-2020 - 00:00,8.17,3.16,6.91,9.49,3.29,0.57,17.7,0.0,0.0,,,,31.77,,1.15,220.31,80.88
28,19-May-2020 - 00:00,20-May-2020 - 00:00,25.36,3.29,4.22,7.37,5.54,0.57,24.54,0.0,0.06,,,,32.65,,2.06,218.93,104.95
29,20-May-2020 - 00:00,21-May-2020 - 00:00,27.76,3.32,7.64,10.91,3.05,0.46,23.3,0.02,0.0,,,,34.18,,1.81,261.55,115.52
30,21-May-2020 - 00:00,22-May-2020 - 00:00,17.82,3.02,4.7,7.56,4.68,0.5,46.1,0.0,0.04,,,,34.15,,1.4,290.38,118.09
31,22-May-2020 - 00:00,23-May-2020 - 00:00,13.04,2.85,3.36,6.05,3.08,0.48,33.07,0.0,0.0,,,,34.17,,0.94,256.15,108.52
32,23-May-2020 - 00:00,24-May-2020 - 00:00,16.45,2.84,6.02,8.48,3.7,0.44,15.68,0.0,0.0,,,,31.67,,0.89,255.54,107.62
33,24-May-2020 - 00:00,25-May-2020 - 00:00,15.88,2.56,11.54,14.09,3.28,0.42,19.33,0.0,0.0,,,,31.38,,0.75,239.06,111.7
34,25-May-2020 - 00:00,26-May-2020 - 00:00,12.57,2.5,9.41,11.87,4.3,0.48,18.86,0.0,0.0,0.07,,0.08,31.48,,0.78,245.13,108.46
35,26-May-2020 - 00:00,27-May-2020 - 00:00,18.61,2.3,4.84,7.08,3.9,0.39,10.66,0.0,0.0,,,,31.47,,0.79,237.47,109.34
36,27-May-2020 - 00:00,28-May-2020 - 00:00,14.26,2.42,5.3,7.64,3.52,0.47,16.03,0.0,0.0,0.04,,,31.52,,0.95,245.95,100.66
37,28-May-2020 - 00:00,29-May-2020 - 00:00,23.13,2.47,7.02,9.44,2.47,0.36,14.58,0.0,0.0,,,,32.21,,0.91,253.38,108.52
38,29-May-2020 - 00:00,30-May-2020 - 00:00,40.23,3.23,11.81,14.93,3.82,0.57,26.74,0.0,0.0,0.04,,,32.49,,0.99,258.71,107.48
39,30-May-2020 - 00:00,31-May-2020 - 00:00,22.07,4.15,5.47,9.71,2.81,0.57,40.29,0.0,0.0,,,,31.85,,0.97,251.59,107.85
40,31-May-2020 - 00:00,01-Jun-2020 - 00:00,13.4,3.47,4.58,8.1,2.64,0.47,29.04,0.0,0.0,,,,31.32,,1.08,249.64,111.7
41,01-Jun-2020 - 00:00,02-Jun-2020 - 00:00,74.54,4.52,6.02,10.46,4.21,0.56,6.77,0.0,0.03,,,,31.34,,0.82,251.1,79.05
42,02-Jun-2020 - 00:00,03-Jun-2020 - 00:00,11.25,4.78,6.64,11.23,5.21,0.56,20.87,0.0,0.05,0.06,,,31.64,,0.96,256.79,98.72
43,03-Jun-2020 - 00:00,04-Jun-2020 - 00:00,16.14,3.87,5.19,8.96,2.13,0.41,38.02,0.0,0.05,0.08,,0.09,31.89,,1.22,266.5,113.9
