,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),Xylene (ug/m3),RF (mm)
0,21-Apr-2020 - 00:00,22-Apr-2020 - 00:00,25.29,55.14,1.38,30.24,17.11,61.57,19.39,0.41,23.99,0.0,0.0,31.0,52.95,1.03,146.68,116.88,0.0,
1,22-Apr-2020 - 00:00,23-Apr-2020 - 00:00,22.15,46.82,0.78,18.82,10.37,46.07,8.28,0.33,25.76,0.0,0.0,31.26,49.44,1.27,101.92,127.12,0.0,
2,23-Apr-2020 - 00:00,24-Apr-2020 - 00:00,22.98,56.71,0.75,15.93,8.81,27.29,6.24,0.32,24.68,0.0,0.0,31.13,53.28,1.2,121.86,118.17,0.0,
3,24-Apr-2020 - 00:00,25-Apr-2020 - 00:00,24.85,51.52,0.76,15.12,8.39,27.37,3.73,0.33,24.04,0.0,0.0,30.9,59.31,1.03,91.04,118.6,0.0,
4,25-Apr-2020 - 00:00,26-Apr-2020 - 00:00,28.38,67.68,1.78,15.52,9.44,24.76,7.76,0.46,25.24,0.15,2.8,30.64,50.09,1.49,142.98,138.34,0.01,
5,26-Apr-2020 - 00:00,27-Apr-2020 - 00:00,23.57,47.85,2.43,10.08,7.33,33.88,3.28,0.32,22.78,0.08,0.71,30.16,59.27,0.76,109.46,149.14,0.01,
6,27-Apr-2020 - 00:00,28-Apr-2020 - 00:00,18.02,48.96,2.28,10.09,7.22,21.96,3.01,0.29,24.51,0.1,0.96,30.14,54.46,1.21,131.9,155.77,0.0,
7,28-Apr-2020 - 00:00,29-Apr-2020 - 00:00,18.28,45.77,2.41,9.14,6.83,23.66,3.61,0.3,20.73,0.08,0.76,30.24,66.94,1.32,124.92,140.46,0.0,
8,29-Apr-2020 - 00:00,30-Apr-2020 - 00:00,13.02,35.81,2.53,12.46,8.68,17.76,4.85,0.29,26.21,0.09,0.65,30.48,54.79,0.81,95.29,59.95,0.06,
9,30-Apr-2020 - 00:00,01-May-2020 - 00:00,18.98,48.57,2.25,14.74,9.68,16.34,4.8,0.29,29.25,0.13,1.41,30.62,49.82,1.23,79.7,60.09,0.05,
