,From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),Xylene (ug/m3),RF (mm)
0,21-Apr-2020 - 00:00,22-Apr-2020 - 00:00,52.09,14.15,48.97,37.51,34.24,0.45,16.03,2.51,2.82,28.09,46.11,1.43,195.46,221.12,0.58,0.0
1,22-Apr-2020 - 00:00,23-Apr-2020 - 00:00,60.32,14.12,45.39,35.57,33.48,0.51,31.13,2.75,3.26,28.04,38.04,1.59,195.35,231.89,0.6,0.0
2,23-Apr-2020 - 00:00,24-Apr-2020 - 00:00,61.85,10.63,45.41,32.8,22.51,0.49,33.41,2.81,2.69,27.91,37.28,2.65,222.69,197.03,0.59,0.0
3,24-Apr-2020 - 00:00,25-Apr-2020 - 00:00,63.8,11.8,42.64,32.22,29.72,0.39,41.58,2.41,2.24,27.86,36.83,1.74,239.28,226.71,0.57,0.0
4,25-Apr-2020 - 00:00,26-Apr-2020 - 00:00,39.57,11.92,44.39,33.3,25.49,0.44,37.57,2.21,2.53,28.04,43.21,2.02,152.71,175.34,0.49,0.15
5,26-Apr-2020 - 00:00,27-Apr-2020 - 00:00,45.32,15.09,40.23,33.65,29.05,0.47,27.34,2.66,2.3,27.99,59.57,2.81,177.86,163.46,0.58,0.1
6,27-Apr-2020 - 00:00,28-Apr-2020 - 00:00,38.07,18.62,36.66,34.28,22.12,0.35,13.99,2.01,1.47,27.95,65.24,3.45,139.56,239.47,0.37,0.0
7,28-Apr-2020 - 00:00,29-Apr-2020 - 00:00,46.66,9.57,34.14,25.71,19.66,0.45,16.2,1.97,1.55,28.16,58.39,2.37,154.85,216.62,0.31,0.0
8,29-Apr-2020 - 00:00,30-Apr-2020 - 00:00,57.29,8.66,31.56,23.64,25.28,0.52,35.91,2.25,1.9,27.74,48.19,1.92,162.53,231.27,0.48,0.0
9,30-Apr-2020 - 00:00,01-May-2020 - 00:00,48.55,12.71,30.8,26.44,22.97,0.48,42.29,2.69,2.4,27.71,47.01,2.05,200.43,216.12,0.63,0.08
10,01-May-2020 - 00:00,02-May-2020 - 00:00,52.64,10.43,29.68,24.04,24.76,0.61,33.08,2.45,2.73,27.6,51.47,2.54,154.73,227.92,0.55,0.0
11,02-May-2020 - 00:00,03-May-2020 - 00:00,29.36,9.8,26.1,21.84,32.43,0.51,51.57,2.1,1.63,27.55,50.21,3.98,154.2,234.44,0.37,0.0
12,03-May-2020 - 00:00,04-May-2020 - 00:00,39.05,10.71,28.14,23.68,48.46,0.52,24.97,2.08,1.57,27.3,62.18,3.35,153.58,134.61,0.38,0.05
13,04-May-2020 - 00:00,05-May-2020 - 00:00,22.92,17.04,30.68,30.12,25.41,0.54,21.07,2.45,2.81,27.91,60.64,1.39,155.09,232.84,0.46,0.02
14,05-May-2020 - 00:00,06-May-2020 - 00:00,39.61,11.68,32.91,26.74,31.17,0.55,25.53,2.58,3.3,27.88,49.73,2.54,239.79,231.51,0.47,0.0
15,06-May-2020 - 00:00,07-May-2020 - 00:00,40.76,16.45,31.94,30.34,28.74,0.44,41.05,2.42,2.49,27.78,46.34,2.32,181.02,190.11,0.48,0.0
16,07-May-2020 - 00:00,08-May-2020 - 00:00,33.22,9.65,29.91,23.49,32.17,0.45,47.85,2.03,2.29,27.62,41.46,2.02,215.8,253.35,0.47,0.0
17,08-May-2020 - 00:00,09-May-2020 - 00:00,38.0,10.33,29.46,23.46,28.81,0.57,48.98,2.34,2.31,27.72,42.35,2.67,182.08,247.47,0.56,0.0
18,09-May-2020 - 00:00,10-May-2020 - 00:00,56.08,7.87,22.98,18.51,24.01,0.48,97.65,2.01,1.8,27.32,41.17,3.23,156.95,239.32,0.3,0.0
19,10-May-2020 - 00:00,11-May-2020 - 00:00,51.63,10.69,26.06,21.69,31.43,0.43,59.19,1.87,1.51,27.53,50.27,3.5,168.08,195.96,0.2,0.0
20,11-May-2020 - 00:00,12-May-2020 - 00:00,37.65,12.81,27.92,25.01,34.33,0.41,54.97,1.59,1.42,27.65,52.35,1.97,182.92,195.54,0.16,0.0
21,12-May-2020 - 00:00,13-May-2020 - 00:00,35.6,9.41,28.8,22.93,19.1,0.49,58.01,1.57,1.49,27.76,41.84,1.89,198.79,249.89,0.14,0.0
22,13-May-2020 - 00:00,14-May-2020 - 00:00,54.74,9.98,30.16,24.13,44.77,0.49,36.98,1.6,2.03,27.7,52.88,1.74,181.52,115.04,0.16,0.0
23,14-May-2020 - 00:00,15-May-2020 - 00:00,45.31,13.48,26.28,24.64,25.06,0.68,45.43,1.8,2.33,27.77,45.47,1.72,166.9,246.55,0.16,0.0
24,15-May-2020 - 00:00,16-May-2020 - 00:00,47.43,8.48,29.34,21.8,26.7,0.52,47.21,2.01,2.23,28.01,39.73,3.07,241.96,241.91,0.15,0.0
25,16-May-2020 - 00:00,17-May-2020 - 00:00,49.17,8.76,32.45,23.97,32.42,0.62,56.73,1.98,2.09,28.06,33.6,2.43,204.17,244.69,0.13,0.0
26,17-May-2020 - 00:00,18-May-2020 - 00:00,65.65,9.7,31.89,23.69,35.35,0.62,91.75,1.99,2.14,27.78,31.03,1.35,272.47,230.69,0.15,0.0
27,18-May-2020 - 00:00,19-May-2020 - 00:00,64.78,10.46,30.91,23.49,17.86,0.55,60.85,1.93,2.28,27.92,31.36,2.06,252.28,250.74,0.13,0.0
28,19-May-2020 - 00:00,20-May-2020 - 00:00,66.85,8.78,31.04,22.56,38.01,0.52,70.37,2.13,2.49,28.0,28.57,2.37,227.2,253.79,0.15,0.0
29,20-May-2020 - 00:00,21-May-2020 - 00:00,51.65,7.94,38.03,25.97,23.85,0.6,73.52,1.98,2.17,28.15,30.29,2.64,221.52,260.41,0.17,0.0
30,21-May-2020 - 00:00,22-May-2020 - 00:00,64.5,7.72,36.42,24.78,33.46,0.59,63.91,1.96,2.3,28.14,28.23,3.21,216.72,277.34,0.14,0.0
31,22-May-2020 - 00:00,23-May-2020 - 00:00,72.48,8.95,32.61,23.41,23.97,0.67,84.91,1.89,2.16,28.01,27.76,1.92,206.53,270.21,0.15,0.0
32,23-May-2020 - 00:00,24-May-2020 - 00:00,85.57,7.46,29.54,21.05,13.49,0.6,69.35,1.99,2.23,27.96,28.67,2.36,163.94,242.53,0.17,0.0
33,24-May-2020 - 00:00,25-May-2020 - 00:00,68.51,7.1,27.85,20.36,28.34,0.39,54.11,1.87,1.79,27.98,28.33,2.58,203.03,255.68,0.17,0.0
34,25-May-2020 - 00:00,26-May-2020 - 00:00,57.32,9.24,32.91,23.34,30.59,0.54,53.62,1.91,1.95,28.01,28.41,2.72,192.19,261.78,0.15,0.0
35,26-May-2020 - 00:00,27-May-2020 - 00:00,58.0,9.45,26.48,20.61,30.74,0.47,62.88,1.94,1.91,27.84,28.68,2.65,194.58,208.0,0.16,0.0
36,27-May-2020 - 00:00,28-May-2020 - 00:00,65.7,10.49,29.19,21.15,24.92,1.0,50.26,1.72,2.16,28.5,33.67,2.42,199.41,152.78,0.18,0.02
37,28-May-2020 - 00:00,29-May-2020 - 00:00,68.79,2.83,24.23,14.76,22.31,0.6,66.87,,,28.16,46.25,4.84,215.21,240.6,,0.04
38,29-May-2020 - 00:00,30-May-2020 - 00:00,38.07,8.19,23.32,18.82,16.9,1.07,62.69,,,28.44,56.94,5.35,220.3,249.73,,1.3
39,30-May-2020 - 00:00,31-May-2020 - 00:00,29.74,14.49,30.94,27.49,46.96,2.04,13.3,,,28.64,69.7,2.54,113.92,250.78,,0.0
40,31-May-2020 - 00:00,01-Jun-2020 - 00:00,33.34,14.97,24.51,25.19,16.26,0.61,10.87,,,28.74,74.89,2.44,147.88,234.71,,0.06
41,01-Jun-2020 - 00:00,02-Jun-2020 - 00:00,31.3,14.05,23.91,24.04,29.09,0.76,18.28,,,28.57,62.14,1.84,97.25,296.69,,0.0
42,02-Jun-2020 - 00:00,03-Jun-2020 - 00:00,34.95,11.18,22.47,20.73,24.54,1.14,53.0,,,28.46,51.31,1.99,154.29,297.4,,0.0
43,03-Jun-2020 - 00:00,04-Jun-2020 - 00:00,40.39,11.06,22.78,21.06,30.72,1.06,45.53,,,28.23,49.48,1.99,158.34,284.81,,0.0
44,04-Jun-2020 - 00:00,05-Jun-2020 - 00:00,35.66,12.63,20.78,21.31,20.27,0.91,54.52,,,28.19,56.99,2.13,182.17,108.59,,0.0
45,05-Jun-2020 - 00:00,06-Jun-2020 - 00:00,32.1,12.63,21.28,21.32,34.76,0.55,42.91,,,28.27,57.89,1.91,131.7,252.72,,0.0
